timestamp,NO2,month,day,hour
473159,,12,23,23
473160,,12,24,0
473161,,12,24,1
473162,,12,24,2
473163,,12,24,3
473164,,12,24,4
473165,,12,24,5
473166,,12,24,6
473167,,12,24,7
473168,,12,24,8
473169,,12,24,9
473170,,12,24,10
473171,,12,24,11
473172,,12,24,12
473173,,12,24,13
473174,,12,24,14
473175,,12,24,15
473176,,12,24,16
473177,,12,24,17
473178,,12,24,18
473179,,12,24,19
473180,,12,24,20
473181,,12,24,21
473182,,12,24,22
473183,,12,24,23
473184,,12,25,0
473185,,12,25,1
473186,,12,25,2
473187,,12,25,3
473188,,12,25,4
473189,,12,25,5
473190,,12,25,6
473191,,12,25,7
473192,,12,25,8
473193,,12,25,9
473194,,12,25,10
473195,,12,25,11
473196,,12,25,12
473197,,12,25,13
473198,,12,25,14
473199,,12,25,15
473200,,12,25,16
473201,,12,25,17
473202,,12,25,18
473203,,12,25,19
473204,,12,25,20
473205,,12,25,21
473206,,12,25,22
473207,,12,25,23
473208,,12,26,0
473209,,12,26,1
473210,,12,26,2
473211,,12,26,3
473212,,12,26,4
473213,,12,26,5
473214,,12,26,6
473215,,12,26,7
473216,,12,26,8
473217,,12,26,9
473218,,12,26,10
473219,,12,26,11
473220,,12,26,12
473221,,12,26,13
473222,,12,26,14
473223,,12,26,15
473224,,12,26,16
473225,,12,26,17
473226,,12,26,18
473227,,12,26,19
473228,,12,26,20
473229,,12,26,21
473230,,12,26,22
473231,,12,26,23
473232,,12,27,0
473233,,12,27,1
473234,,12,27,2
473235,,12,27,3
473236,,12,27,4
473237,,12,27,5
473238,,12,27,6
473239,,12,27,7
473240,,12,27,8
473241,,12,27,9
473242,,12,27,10
473243,,12,27,11
473244,,12,27,12
473245,,12,27,13
473246,,12,27,14
473247,,12,27,15
473248,,12,27,16
473249,,12,27,17
473250,,12,27,18
473251,,12,27,19
473252,,12,27,20
473253,,12,27,21
473254,,12,27,22
473255,,12,27,23
473256,,12,28,0
473257,,12,28,1
473258,,12,28,2
473259,,12,28,3
473260,,12,28,4
473261,,12,28,5
473262,,12,28,6
473263,,12,28,7
473264,,12,28,8
473265,,12,28,9
473266,,12,28,10
473267,,12,28,11
473268,,12,28,12
473269,,12,28,13
473270,,12,28,14
473271,,12,28,15
473272,,12,28,16
473273,,12,28,17
473274,,12,28,18
473275,,12,28,19
473276,,12,28,20
473277,,12,28,21
473278,,12,28,22
473279,,12,28,23
473280,,12,29,0
473281,,12,29,1
473282,,12,29,2
473283,,12,29,3
473284,,12,29,4
473285,,12,29,5
473286,,12,29,6
473287,,12,29,7
473288,,12,29,8
473289,,12,29,9
473290,,12,29,10
473291,,12,29,11
473292,,12,29,12
473293,0.6620172837928706,12,29,13
473294,0.7009732215160133,12,29,14
473295,0.6717562682236563,12,29,15
473296,0.6522782993620849,12,29,16
473297,0.6328003305005135,12,29,17
473298,0.5354104861926569,12,29,18
473299,0.5938443927773709,12,29,19
473300,0.6425393149312992,12,29,20
473301,0.6328003305005135,12,29,21
473302,0.5646274394850138,12,29,22
473303,0.5743664239157995,12,29,23
473304,0.6883524982148586,12,30,0
473305,0.5617457006146448,12,30,1
473306,0.5033117940299308,12,30,2
473307,0.5714846850454305,12,30,3
473308,0.5812236694762162,12,30,4
473309,0.6396575760609302,12,30,5
473310,0.6396575760609302,12,30,6
473311,0.7467864047995727,12,30,7
473312,0.7565253892303584,12,30,8
473313,0.8539152335382151,12,30,9
473314,0.7760033580919297,12,30,10
473315,0.5812236694762162,12,30,11
473316,0.5812236694762162,12,30,12
473317,0.8052203113842867,12,30,13
473318,0.7857423425227154,12,30,14
473319,0.6493965604917158,12,30,15
473320,0.5812236694762162,12,30,16
473321,0.5714846850454305,12,30,17
473322,0.6104406227685731,12,30,18
473323,0.737047420368787,12,30,19
473324,0.8636542179690008,12,30,20
473325,1.0,12,30,21
473326,0.8539152335382151,12,30,22
