data,hora,NO2
2023-01-01,,92.34719874385614
2023-01-01,,91.34719874385614
2023-01-01,,92.34719874385614
2023-01-01,,88.34719874385614
2023-01-01,,81.34719874385614
2023-01-01,,69.34719874385613
2023-01-01,,61.347198743856126
2023-01-01,,79.34719874385614
2023-01-01,,68.34719874385613
2023-01-01,,61.347198743856126
2023-01-01,,55.347198743856126
2023-01-01,,43.347198743856126
2023-01-01,,43.347198743856126
2023-01-01,,45.347198743856126
2023-01-01,,51.347198743856126
2023-01-01,,55.347198743856126
2023-01-01,,70.34719874385613
2023-01-01,,76.34719874385614
2023-01-01,,95.34719874385614
2023-01-01,,96.34719874385614
2023-01-01,,98.34719874385614
2023-01-01,,96.34719874385614
2023-01-01,,93.34719874385614
2023-01-01,,87.34719874385614
2023-01-02,,75.89855307214636
2023-01-02,,76.89855307214636
2023-01-02,,69.89855307214636
2023-01-02,,57.89855307214636
2023-01-02,,64.89855307214636
2023-01-02,,52.89855307214636
2023-01-02,,68.89855307214636
2023-01-02,,87.89855307214636
2023-01-02,,104.89855307214636
2023-01-02,,90.89855307214636
2023-01-02,,59.89855307214636
2023-01-02,,56.89855307214636
2023-01-02,,59.89855307214636
2023-01-02,,84.89855307214636
2023-01-02,,92.89855307214636
2023-01-02,,104.89855307214636
2023-01-02,,105.89855307214636
2023-01-02,,108.89855307214636
2023-01-02,,105.89855307214636
2023-01-02,,83.89855307214636
2023-01-02,,69.89855307214636
2023-01-02,,60.89855307214636
2023-01-02,,71.89855307214636
2023-01-02,,72.89855307214636
2023-01-03,,56.05867398729748
2023-01-03,,49.05867398729748
2023-01-03,,37.05867398729748
2023-01-03,,37.05867398729748
2023-01-03,,36.05867398729748
2023-01-03,,36.05867398729748
2023-01-03,,46.05867398729748
2023-01-03,,66.05867398729748
2023-01-03,,75.05867398729748
2023-01-03,,61.05867398729748
2023-01-03,,76.05867398729748
2023-01-03,,85.05867398729748
2023-01-03,,82.05867398729748
2023-01-03,,73.55867398729748
2023-01-03,,65.05867398729748
2023-01-03,,56.55867398729748
2023-01-03,,48.05867398729748
2023-01-03,,65.05867398729748
2023-01-03,,69.05867398729748
2023-01-03,,55.05867398729748
2023-01-03,,46.05867398729748
2023-01-03,,45.05867398729748
2023-01-03,,45.05867398729748
2023-01-03,,46.05867398729748
2023-01-04,,50.9623492216966
2023-01-04,,62.9623492216966
2023-01-04,,67.9623492216966
2023-01-04,,69.9623492216966
2023-01-04,,69.9623492216966
2023-01-04,,70.9623492216966
2023-01-04,,71.9623492216966
2023-01-04,,79.9623492216966
2023-01-04,,86.9623492216966
2023-01-04,,84.9623492216966
2023-01-04,,61.9623492216966
2023-01-04,,62.9623492216966
2023-01-04,,66.9623492216966
2023-01-04,,92.9623492216966
2023-01-04,,103.9623492216966
2023-01-04,,88.9623492216966
2023-01-04,,76.9623492216966
2023-01-04,,82.9623492216966
2023-01-04,,102.9623492216966
2023-01-04,,102.9623492216966
2023-01-04,,105.9623492216966
2023-01-04,,103.9623492216966
2023-01-04,,100.9623492216966
2023-01-04,,96.9623492216966
2023-01-05,,87.85653988978171
2023-01-05,,82.85653988978171
2023-01-05,,77.85653988978171
2023-01-05,,74.85653988978171
2023-01-05,,70.85653988978171
2023-01-05,,71.85653988978171
2023-01-05,,66.85653988978171
2023-01-05,,74.85653988978171
2023-01-05,,82.85653988978171
2023-01-05,,94.85653988978171
2023-01-05,,106.85653988978171
2023-01-05,,117.85653988978171
2023-01-05,,110.85653988978171
2023-01-05,,97.85653988978171
2023-01-05,,77.85653988978171
2023-01-05,,61.85653988978172
2023-01-05,,59.85653988978172
2023-01-05,,67.85653988978171
2023-01-05,,86.85653988978171
2023-01-05,,83.85653988978171
2023-01-05,,58.85653988978172
2023-01-05,,60.85653988978172
2023-01-05,,81.85653988978171
2023-01-05,,84.85653988978171
2023-01-06,,75.2554427320253
2023-01-06,,60.2554427320253
2023-01-06,,52.2554427320253
2023-01-06,,47.2554427320253
2023-01-06,,53.2554427320253
2023-01-06,,69.2554427320253
2023-01-06,,67.2554427320253
2023-01-06,,80.2554427320253
2023-01-06,,82.2554427320253
2023-01-06,,70.2554427320253
2023-01-06,,58.2554427320253
2023-01-06,,54.2554427320253
2023-01-06,,59.2554427320253
2023-01-06,,63.2554427320253
2023-01-06,,68.2554427320253
2023-01-06,,63.2554427320253
2023-01-06,,97.2554427320253
2023-01-06,,78.2554427320253
2023-01-06,,87.2554427320253
2023-01-06,,97.2554427320253
2023-01-06,,102.2554427320253
2023-01-06,,113.2554427320253
2023-01-06,,112.2554427320253
2023-01-06,,104.2554427320253
2023-01-07,,121.82654140379417
2023-01-07,,116.82654140379417
2023-01-07,,79.82654140379417
2023-01-07,,65.82654140379417
2023-01-07,,67.82654140379417
2023-01-07,,73.82654140379417
2023-01-07,,66.82654140379417
2023-01-07,,70.82654140379417
2023-01-07,,76.82654140379417
2023-01-07,,76.82654140379417
2023-01-07,,71.82654140379417
2023-01-07,,66.82654140379417
2023-01-07,,64.82654140379417
2023-01-07,,63.82654140379417
2023-01-07,,64.82654140379417
2023-01-07,,73.82654140379417
2023-01-07,,75.82654140379417
2023-01-07,,76.82654140379417
2023-01-07,,70.82654140379417
2023-01-07,,76.82654140379417
2023-01-07,,79.82654140379417
2023-01-07,,85.82654140379417
2023-01-07,,105.82654140379417
